datereport;AES;TEC;VDE;TES;GES;GAES_GEN;CONSUMPTION;GAES_PUMP;UK_BLR_RUS;UK_EURO;UK_MLD;
13.10.2021 22:00:00;9951.000;640.000;750.000;5295.000;1704.000;0.000;18320.000;0.000;-45.000;-21.000;46.000;
13.10.2021 21:00:00;9943.000;640.000;787.000;5373.000;1771.000;798.000;19167.000;0.000;-114.000;1.000;-32.000;
13.10.2021 20:00:00;9964.000;644.000;443.000;5342.000;2089.000;1205.000;19627.000;0.000;13.000;-3.000;-70.000;
13.10.2021 19:00:00;9960.000;640.000;425.000;5303.000;2150.000;1175.000;19528.000;0.000;-73.000;12.000;-64.000;
13.10.2021 18:00:00;9954.000;646.000;521.000;5232.000;1988.000;561.000;19029.000;0.000;126.000;-12.000;13.000;
13.10.2021 17:00:00;9940.000;637.000;820.000;4715.000;2016.000;294.000;18363.000;0.000;-63.000;-21.000;25.000;
13.10.2021 16:00:00;9813.000;647.000;1225.000;4790.000;1653.000;0.000;18095.000;0.000;-35.000;10.000;-8.000;
13.10.2021 15:00:00;9988.000;614.000;1622.000;4760.000;1502.000;0.000;18497.000;0.000;26.000;11.000;-26.000;
13.10.2021 14:00:00;9982.000;622.000;2065.000;4707.000;1212.000;0.000;18428.000;0.000;4.000;-3.000;-161.000;
13.10.2021 13:00:00;9978.000;605.000;2460.000;4522.000;1067.000;0.000;18461.000;0.000;3.000;-9.000;-165.000;
13.10.2021 12:00:00;9984.000;622.000;1997.000;4577.000;1692.000;0.000;18731.000;0.000;30.000;-8.000;-163.000;
13.10.2021 11:00:00;9989.000;598.000;1985.000;4723.000;1944.000;0.000;19153.000;0.000;84.000;-1.000;-169.000;
13.10.2021 10:00:00;9989.000;611.000;1552.000;4835.000;2429.000;0.000;19302.000;0.000;54.000;-5.000;-163.000;
13.10.2021 09:00:00;9979.000;636.000;1043.000;4871.000;2572.000;0.000;19061.000;0.000;146.000;-8.000;-178.000;
13.10.2021 08:00:00;9989.000;637.000;763.000;4815.000;1618.000;0.000;17876.000;0.000;132.000;18.000;-96.000;
13.10.2021 07:00:00;9965.000;585.000;785.000;4755.000;944.000;0.000;16778.000;0.000;-171.000;-11.000;-74.000;
13.10.2021 06:00:00;9976.000;535.000;638.000;4398.000;123.000;0.000;15187.000;-41.000;-410.000;16.000;-48.000;
13.10.2021 05:00:00;9952.000;539.000;596.000;4211.000;197.000;0.000;14386.000;-1080.000;48.000;3.000;-80.000;
13.10.2021 04:00:00;9965.000;564.000;591.000;4176.000;194.000;0.000;14148.000;-1072.000;-199.000;2.000;-73.000;
13.10.2021 03:00:00;9972.000;541.000;511.000;4277.000;104.000;0.000;14179.000;-1079.000;-80.000;8.000;-75.000;
13.10.2021 02:00:00;9969.000;539.000;432.000;4510.000;254.000;0.000;14462.000;-881.000;-271.000;-8.000;-82.000;
13.10.2021 01:00:00;9949.000;531.000;361.000;4647.000;467.000;0.000;14832.000;-777.000;-73.000;-152.000;-121.000;
13.10.2021 00:00:00;10001.000;541.000;379.000;4952.000;422.000;0.000;15856.000;-339.000;76.000;-153.000;-23.000;
12.10.2021 23:00:00;9962.000;729.000;475.000;5210.000;1012.000;0.000;17201.000;-41.000;-57.000;-103.000;14.000;
12.10.2021 22:00:00;9985.000;774.000;477.000;5211.000;1729.000;319.000;18415.000;0.000;-8.000;-25.000;-47.000;
12.10.2021 21:00:00;9943.000;800.000;532.000;5332.000;1975.000;572.000;19194.000;0.000;102.000;-15.000;-47.000;
12.10.2021 20:00:00;9965.000;793.000;585.000;5291.000;1808.000;1203.000;19607.000;0.000;8.000;-4.000;-42.000;
12.10.2021 19:00:00;9944.000;768.000;563.000;5244.000;2007.000;1138.000;19522.000;0.000;-73.000;-6.000;-63.000;
12.10.2021 18:00:00;9969.000;790.000;521.000;5221.000;1787.000;399.000;18530.000;0.000;-109.000;-56.000;8.000;
12.10.2021 17:00:00;9961.000;798.000;794.000;4940.000;1703.000;0.000;18192.000;0.000;84.000;-98.000;10.000;
12.10.2021 16:00:00;9992.000;793.000;1283.000;4904.000;1213.000;0.000;18005.000;0.000;-18.000;-150.000;-12.000;
12.10.2021 15:00:00;9972.000;767.000;1494.000;4919.000;912.000;0.000;17928.000;0.000;-30.000;-162.000;56.000;
12.10.2021 14:00:00;9969.000;771.000;1820.000;4907.000;1249.000;0.000;17898.000;-453.000;-172.000;-206.000;13.000;
12.10.2021 13:00:00;9992.000;788.000;2024.000;4872.000;681.000;0.000;17878.000;-453.000;129.000;-181.000;26.000;
12.10.2021 12:00:00;9966.000;792.000;1885.000;4789.000;738.000;0.000;18117.000;0.000;141.000;-204.000;10.000;
12.10.2021 11:00:00;10012.000;782.000;1744.000;4807.000;961.000;324.000;18487.000;0.000;50.000;-170.000;-23.000;
12.10.2021 10:00:00;9988.000;790.000;1480.000;4745.000;1713.000;324.000;18864.000;0.000;-2.000;-138.000;-36.000;
12.10.2021 09:00:00;9991.000;798.000;978.000;4637.000;2344.000;321.000;18780.000;0.000;-152.000;-70.000;-67.000;
