party,disabled,water_resources,adoption,doctors,salvador,religions,anti_satellite,nicaragua,missile,immigrant,alternative_fuel,education,superfund_right,crime,duty_free_exports,export
republican,no,yes,no,yes,yes,yes,no,no,no,yes,abstained,yes,yes,yes,no,yes
republican,no,yes,no,yes,yes,yes,no,no,no,no,no,yes,yes,yes,no,abstained
democratic,abstained,yes,yes,abstained,yes,yes,no,no,no,no,yes,no,yes,yes,no,no
democratic,no,yes,yes,no,abstained,yes,no,no,no,no,yes,no,yes,no,no,yes
democratic,yes,yes,yes,no,yes,yes,no,no,no,no,yes,abstained,yes,yes,yes,yes
democratic,no,yes,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,yes
democratic,no,yes,no,yes,yes,yes,no,no,no,no,no,no,abstained,yes,yes,yes
republican,no,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,yes,abstained,yes
republican,no,yes,no,yes,yes,yes,no,no,no,no,no,yes,yes,yes,no,yes
democratic,yes,yes,yes,no,no,no,yes,yes,yes,no,no,no,no,no,abstained,abstained
republican,no,yes,no,yes,yes,no,no,no,no,no,abstained,abstained,yes,yes,no,no
republican,no,yes,no,yes,yes,yes,no,no,no,no,yes,abstained,yes,yes,abstained,abstained
democratic,no,yes,yes,no,no,no,yes,yes,yes,no,no,no,yes,no,abstained,abstained
democratic,yes,yes,yes,no,no,yes,yes,yes,abstained,yes,yes,abstained,no,no,yes,abstained
republican,no,yes,no,yes,yes,yes,no,no,no,no,no,yes,abstained,abstained,no,abstained
republican,no,yes,no,yes,yes,yes,no,no,no,yes,no,yes,yes,abstained,no,abstained
democratic,yes,no,yes,no,no,yes,no,yes,abstained,yes,yes,yes,abstained,no,no,yes
democratic,yes,abstained,yes,no,no,no,yes,yes,yes,no,no,no,yes,no,yes,yes
republican,no,yes,no,yes,yes,yes,no,no,no,no,no,abstained,yes,yes,no,no
democratic,yes,yes,yes,no,no,no,yes,yes,yes,no,yes,no,no,no,yes,yes
democratic,yes,yes,yes,no,no,abstained,yes,yes,no,no,yes,no,no,no,yes,yes
democratic,yes,yes,yes,no,no,no,yes,yes,yes,no,no,no,abstained,abstained,yes,yes
democratic,yes,abstained,yes,no,no,no,yes,yes,yes,no,no,abstained,no,no,yes,yes
democratic,yes,yes,yes,no,no,no,yes,yes,yes,no,no,no,no,no,yes,yes
democratic,yes,no,yes,no,no,no,yes,yes,yes,no,no,no,no,no,yes,abstained
democratic,yes,no,yes,no,no,no,yes,yes,yes,yes,no,no,no,no,yes,yes
democratic,yes,no,yes,no,no,no,yes,yes,yes,no,yes,no,no,no,yes,yes
democratic,yes,yes,yes,no,no,no,yes,yes,yes,no,yes,no,no,no,yes,yes
republican,yes,no,no,yes,yes,no,yes,yes,yes,no,no,yes,yes,yes,no,yes
democratic,yes,yes,yes,no,no,no,yes,yes,yes,no,yes,no,no,no,yes,yes
republican,no,yes,no,yes,yes,yes,no,no,no,no,no,yes,yes,yes,no,no
democratic,yes,yes,yes,no,no,no,yes,yes,yes,no,yes,no,no,no,yes,abstained
democratic,yes,yes,yes,no,no,no,yes,yes,yes,yes,no,no,yes,no,yes,yes
republican,no,yes,no,yes,yes,yes,no,no,no,no,no,yes,yes,yes,no,yes
democratic,yes,yes,yes,no,no,no,yes,yes,yes,no,no,no,no,no,yes,yes
