age,salary,average_call_duration,day_call_month,evening_call_month,night_call_month,other_cities_call,other_country_call,landline_phones_share,sms_month
19,5243,0.7,29,74,8,0,0,0,39
19,34003,3.4,50,102,10,4,0,3,26
19,22841,2.6,60,61,9,0,0,0,44
19,1353,3.6,7,48,8,0,1,4,74
19,387,0.5,34,83,9,2,0,0,82
19,5236,0.6,14,120,6,0,0,10,30
19,25416,6,11,53,5,0,0,1,31
19,38556,5.1,33,75,0,0,0,2,29
19,5032,0.5,46,107,10,0,0,7,54
19,12234,2.3,3,79,3,0,0,0,31
19,14175,2.5,24,57,0,4,0,0,96
19,7185,0.8,31,110,0,2,0,0,41
19,29582,2.7,42,114,32,3,0,3,21
19,31646,5.4,41,42,18,0,0,0,102
19,9676,1.4,30,68,21,2,0,6,27
19,39118,6.9,26,48,30,0,1,5,18
19,21021,3,32,64,28,0,0,0,63
19,7402,2.8,34,4,7,0,0,5,69
19,1764,3,19,65,0,0,0,0,55
19,2361,2.1,47,118,23,0,0,4,44
19,54865,6.6,7,109,29,0,0,4,24
19,2981,0.8,52,3,7,0,0,0,57
19,37456,4,32,115,0,2,0,4,28
19,18059,2.7,11,94,0,0,0,6,53
19,20846,5.5,40,11,17,0,0,0,42
19,451,0.6,1,117,0,0,0,5,17
19,944,2.6,51,5,2,0,0,1,36
19,21897,2.5,37,87,27,4,0,3,111
19,40214,5.9,38,64,10,0,0,4,32
19,2345,2,32,120,31,0,0,1,63
19,2058,0.7,27,14,2,2,0,0,40
19,44398,5.9,30,71,13,0,0,15,29
19,2289,0.3,39,61,18,0,0,0,46
19,11058,2.8,28,31,6,0,0,1,13
19,798,1,9,105,0,2,0,1,37
19,11304,1.3,46,79,23,2,0,2,56
19,18287,2.5,35,65,9,2,0,0,40
19,11491,2.2,4,65,26,0,0,7,57
19,5439,0.7,58,53,0,0,1,0,59
19,17871,3.1,5,74,23,2,0,5,27
19,5121,1.2,5,62,0,0,0,2,19
19,4491,0.5,44,80,34,2,0,4,32
19,4704,0.7,27,74,9,0,0,4,34
19,608,0.9,35,57,9,0,0,4,30
19,10612,1.7,36,62,0,0,0,6,15
19,23079,2.1,48,106,6,0,0,4,17
19,14616,4.8,29,4,21,0,0,2,34
19,47871,4.5,59,99,18,2,0,8,39
19,1815,1.9,4,9,4,0,0,2,67
19,17368,1.9,56,75,25,0,0,2,38
19,46305,4.9,58,77,0,0,0,6,21
19,10854,1.2,58,80,8,3,0,8,90
19,13676,1.9,41,72,0,0,0,1,24
19,30286,3.7,21,103,9,0,1,5,52
19,33825,3,56,118,6,2,0,4,31
19,707,1,28,70,6,2,0,1,94
