Song Index;Song;Artist;Track No.;AlbumID_Rank;BPM;Energy;Dance;Loud;Valence;Duration;Acoustic;Popularity;Spotify_Song
1;War Pigs / Luke's Wall - 2014 Remaster;Black Sabbath;1;1;183;62;33;-12;42;07:54;22;63;2rd9ETlulTbz6BYZcdvIE1
2;Paranoid - 2016 Remaster;Black Sabbath;2;1;163;66;42;-12;45;02:48;0;68;1Y373MqadDRtclJNdnUXVc
3;Planet Caravan - 2013 Remaster;Black Sabbath;3;1;90;6;37;-29;34;04:29;94;52;2VDg6h3Qr3F8UuFVInQxE6
4;Iron Man - 2014 Remaster;Black Sabbath;4;1;156;79;34;-11;43;05:55;0;66;3IOQZRcEkplCXg6LofKqE9
5;Electric Funeral - 2013 Remaster;Black Sabbath;5;1;125;49;36;-13;28;04:50;43;49;7As8h8LJTMIritB8QwSmqr
6;Hand of Doom - 2013 Remaster;Black Sabbath;6;1;142;57;45;-12;23;07:08;2;46;72YRB6ar59nBsNdnn0cVdD
7;Rat Salad - 2013 Remaster;Black Sabbath;7;1;100;59;51;-14;45;02:31;1;42;2b8xbWvck5yh9vvEogsfqa
8;Jack the Stripper / Fairies Wear Boots - 2013 Remaster;Black Sabbath;8;1;140;66;49;-11;63;06:12;0;49;6EKrBVHDk20hwjYWGPQQlF
9;Battery;Metallica;1;2;97;94;49;-7;39;05:13;0;10;7qRxAH7ZRB2Ita3mebXfR3
10;Master Of Puppets;Metallica;2;2;105;87;54;-8;59;08:36;0;15;5cW3DEWYYv0tXZMwcUZNRg
11;The Thing That Should Not Be;Metallica;3;2;112;78;68;-8;50;06:37;0;3;6ZertsLLGL2puI2Vj5iy5T
12;Welcome Home (Sanitarium);Metallica;4;2;105;83;33;-8;38;06:28;0;8;5Nu6hybktveVXtgD7hDLVD
13;Disposable Heroes;Metallica;5;2;90;94;26;-7;43;08:17;0;3;2CbYOuq9uxqclV21HJaJ4B
14;Leper Messiah;Metallica;6;2;139;85;38;-8;54;05:41;0;0;6yyionnLDzrrSET4pGoFSX
15;Orion (Instrumental);Metallica;7;2;129;69;36;-9;37;08:28;0;5;1J6aXHOMNalN2YGLpVAD7e
16;Damage, Inc.;Metallica;8;2;92;87;38;-9;16;05:30;0;3;5PZ03nZ4rF3dG1QH7NeXMp
17;Rapid Fire;Judas Priest;1;3;135;99;38;-6;26;04:08;0;43;1Ym7220l4W7Yz7Yt26rWSr
18;Metal Gods;Judas Priest;2;3;101;85;58;-7;42;03:58;3;45;0VFfZVCFNe1I2IIChVBR5m
19;Breaking the Law;Judas Priest;3;3;164;96;36;-6;49;02:34;2;68;2RaA6kIcvomt77qlIgGhCT
20;Grinder;Judas Priest;4;3;140;88;44;-5;59;03:58;7;44;54IuIxOITRtbK8cU7fHIQf
21;United;Judas Priest;5;3;85;64;63;-7;72;03:35;28;45;5QJTiFUvKTVEwcDrek3xpU
22;You Don't Have to Be Old to Be Wise;Judas Priest;6;3;136;93;52;-6;50;05:03;1;37;0gJWAXkAbWEbK66D78EZ6C
23;Living After Midnight;Judas Priest;7;3;135;82;61;-6;82;03:30;1;62;0IXpUl1fn2QZcBavfuq0H4
24;The Rage;Judas Priest;8;3;153;75;34;-6;55;04:44;0;37;0Pawjj5J6FltwqbfSjsvyp
25;Steeler;Judas Priest;9;3;105;98;47;-6;44;04:29;0;37;62ckogL6wRdFuiPWV8c1U3
28;Invaders - 1998 Remastered Version;Iron Maiden;1;4;112;96;45;-4;67;03:24;1;0;3TuvYAA1cuKWdXcrtKZTfF
29;Children Of The Damned - 1998 Remastered Version;Iron Maiden;2;4;136;83;31;-6;45;04:36;1;0;1TraIUXla58jdja3yKo3lQ
30;"The Prisoner - Edit;1998 Remastered Version";Iron Maiden;3;4;107;90;34;-5;65;06:03;0;0;5gsa6ix5YC5rD8DfKxmPRV
31;22 Acacia Avenue - 1998 Remastered Version;Iron Maiden;4;4;112;92;30;-5;62;06:36;1;0;5n5q2Z3oZV9XHluXuiDC4D
32;The Number Of The Beast - 1998 Remastered Version;Iron Maiden;5;4;100;92;43;-6;37;04:52;2;2;139RwLyp7r8F9ojvhGF5lC
33;Run to the Hills - 1998 Remastered Version;Iron Maiden;6;4;173;95;23;-5;47;03:54;1;3;0sxYYT48UPkmrDx8p4Hnrl
34;Gangland - 1998 Remastered Version;Iron Maiden;7;4;124;96;29;-5;39;03:49;0;0;2ExquC7ZoaOE9uNsg2c8YM
35;Total Eclipse - 1998 Remastered Version;Iron Maiden;8;4;140;85;38;-6;53;04:26;0;0;5KOHd90fkcnS37GkBUjsdW
37;Black Sabbath - 2014 Remaster;Black Sabbath;1;5;133;43;32;-14;13;06:18;5;48;0xIZPPBfLqQEAj1BLmGrNc
38;The Wizard - 2014 Remaster;Black Sabbath;2;5;101;68;39;-12;36;04:23;3;49;6sjTzevtstOxOMsFsypsEm
39;Wasp / Behind the Wall of Sleep / Bassically / N.I.B. - 2014 Remaster;Black Sabbath;3;5;102;47;38;-12;50;09:44;3;46;4hx9RvP93j79EJLAiyJQoI
40;Wicked World - 2013 Remaster;Black Sabbath;4;5;169;56;30;-12;57;04:45;0;42;7n5JBulRFW7P1WqjhhjbrI
41;A Bit of Finger / Sleeping Village / Warning - 2013 Remaster;Black Sabbath;5;5;136;55;36;-13;34;14:13;8;39;01xU5pDHQ8FfVhEi98UFMY
42;Angel Of Death;Slayer;1;6;106;99;33;-4;8;04:51;0;56;61dTqhd46yMkSWmC5LAh5F
43;Piece By Piece;Slayer;2;6;110;100;47;-4;8;02:03;0;41;13wcFlh4YHlCT0W7FRxWki
44;Necrophobic;Slayer;3;6;124;100;34;-5;19;01:41;0;39;3tpZGughvVt9faNl89jzj4
45;Altar Of Sacrifice;Slayer;4;6;112;100;29;-4;4;02:51;0;40;3ci1aGelb4y8BxI5abOwCH
46;Jesus Saves;Slayer;5;6;110;100;30;-4;6;02:54;0;40;02TnbyTjofMSpDAa1ywHKH
47;Criminally Insane;Slayer;6;6;106;99;40;-5;6;02:23;0;41;2CniHGjlpzDBw3Skj7oplp
48;Reborn;Slayer;7;6;111;100;48;-4;8;02:12;0;35;6InwRCgZgw6WZ1xMUFd0M6
49;Epidemic;Slayer;8;6;98;100;42;-4;12;02:23;0;35;5jhNT1jDBOm6YesxPsKQRX
50;Postmortem;Slayer;9;6;138;99;32;-4;20;03:27;0;43;1WywY6JdJcMlswZpqUPhSM
51;Raining Blood;Slayer;10;6;110;100;30;-4;4;04:14;0;61;01Mpj13vURSO3cCLprPt5T
54;Ace of Spades;Mot?rhead;1;7;140;98;32;-7;23;02:46;0;23;2RVAtBdGQdyD1i22cwf9nx
55;Motorhead - Live Single Version;Mot?rhead;2;7;114;100;31;-6;4;03:37;0;20;7ox32LYI6xk43D8vDPQ7nq
56;Jailbait;Mot?rhead;3;7;77;98;32;-6;4;03:32;0;20;6omIFQD6QoyfLRPZlCsJgB
