id,ident,type,name,lat,long,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
6467,UKBB,large_airport,Boryspil International Airport,50.345001220703125,30.894699096679688,427,EU,Ukraine,UA,Kiev,UA-32,32,Kiev,1,UKBB,KBP,NA,http://www.airport-borispol.kiev.ua/,https://en.wikipedia.org/wiki/Boryspil_International_Airport,"Borispol, Міжнародний аеропорт ""Бориспіль""",1600,2009-02-18T19:50:27Z
6478,UKKK,medium_airport,Kiev Zhuliany International Airport,50.40194,30.45194,587,EU,Ukraine,UA,Kiev,UA-32,32,Kiev,1,UKKK,IEV,NA,https://iev.aero/,https://en.wikipedia.org/wiki/Kyiv_International_Airport_(Zhuliany),"Міжнародний аеропорт ""Київ""",1050,2018-09-16T02:24:51Z
6481,UKLL,medium_airport,Lviv International Airport,49.8125,23.956100463867188,1071,EU,Ukraine,UA,Lviv,UA-46,46,Lviv,1,UKLL,LWO,NA,http://www.airport.lviv.ua/index.php?id=home&L=1,https://en.wikipedia.org/wiki/Lviv_International_Airport,"Міжнародний аеропорт ""Львів""",1200,2009-02-18T19:52:47Z
6487,UKOO,large_airport,Odessa International Airport,46.42679977416992,30.67650032043457,172,EU,Ukraine,UA,Odessa,UA-51,51,Odessa,1,UKOO,ODS,NA,http://www.airport.od.ua/,https://en.wikipedia.org/wiki/Odessa_International_Airport,"Odesa Central, Міжнародний аеропорт Одеса",1200,2009-01-21T23:07:01Z
6474,UKFF,large_airport,Simferopol International Airport,45.0522,33.975101,639,EU,Ukraine,UA,Crimea,UA-43,43,Simferopol,1,UKFF,SIP,URFF,https://new.sipaero.ru/,https://en.wikipedia.org/wiki/Simferopol_International_Airport,NA,1200,2021-03-10T08:58:37Z
6471,UKDD,medium_airport,Dnipropetrovsk International Airport,48.357200622558594,35.10060119628906,481,EU,Ukraine,UA,Dnipropetrovsk,UA-12,12,Dnipropetrovsk,1,UKDD,DNK,NA,NA,https://en.wikipedia.org/wiki/Dnipropetrovsk_International_Airport,"Міжнародний аеропорт ""Дніпропетровськ""",1200,2009-02-18T18:23:07Z
6476,UKHH,large_airport,Kharkiv International Airport,49.924800872802734,36.290000915527344,508,EU,Ukraine,UA,Kharkiv,UA-63,63,Kharkiv,1,UKHH,HRK,NA,http://www.airport.kharkov.ua/,https://en.wikipedia.org/wiki/Kharkiv_International_Airport,"Osnova International Airport, Міжнародний аеропорт ""Харків""",1200,2009-02-18T19:59:24Z
6468,UKCC,closed,Donetsk Sergei Prokofiev International Airport,48.075072,37.72527,791,EU,Ukraine,UA,Donetsk,UA-14,14,Donetsk,0,UKCC,DOK,NA,http://airport.dn.ua/,https://en.wikipedia.org/wiki/Donetsk_International_Airport,"Міжнародний аеропорт ""Донецьк""",1200,2021-03-10T13:42:27Z
6485,UKLU,medium_airport,Uzhhorod International Airport,48.634300231933594,22.263399124145508,383,EU,Ukraine,UA,Zakarpattia,UA-21,21,Uzhhorod,1,UKLU,UDJ,NA,NA,https://en.wikipedia.org/wiki/Uzhhorod_International_Airport,"Міжнародний аеропорт ""Ужгород""",800,2009-02-18T20:01:50Z
6482,UKLN,medium_airport,Chernivtsi International Airport,48.259300231933594,25.98080062866211,826,EU,Ukraine,UA,Chernivtsi,UA-77,77,Chernivtsi,1,UKLN,CWC,NA,NA,https://en.wikipedia.org/wiki/Chernivtsi_International_Airport,NA,1050,2009-02-18T18:21:01Z
6480,UKLI,medium_airport,Ivano-Frankivsk International Airport,48.88420104980469,24.686100006103516,919,EU,Ukraine,UA,Ivano-Frankivsk,UA-26,26,Ivano-Frankivsk,1,UKLI,IFO,NA,http://www.aeroportifua.ifrastudio.com/index.php?area=2,https://en.wikipedia.org/wiki/Ivano-Frankivsk_International_Airport,Міжнародний аеропорт Івано-Франківськ,1050,2009-02-18T19:46:15Z
6479,UKKM,medium_airport,Gostomel Airport,50.60350036621094,30.1919002532959,517,EU,Ukraine,UA,Kiev,UA-32,32,Kiev,0,UKKM,GML,NA,http://www.antonov.com/products/airport/index.xml,https://en.wikipedia.org/wiki/Gostomel_Airport,"Antonov International Airport, Аеропорт „Антонов”, Hostomel Airport",750,2009-01-21T23:11:13Z
6470,UKCW,medium_airport,Luhansk International Airport,48.4174003601,39.3740997314,636,EU,Ukraine,UA,Luhansk,UA-09,09,Luhansk,1,UKCW,VSG,NA,NA,https://en.wikipedia.org/wiki/Luhansk_International_Airport,"Lugansk International Airport, Міжнародний аеропорт Луганськ, Аэропорт Луганск",1050,2010-02-22T15:59:41Z
31747,UKFK,small_airport,Kerch Airport,45.372501373291016,36.40140151977539,171,EU,Ukraine,UA,Crimea,UA-43,43,Kerch,0,UKFK,KHC,NA,NA,NA,NA,50,2008-08-03T11:50:53Z
